;2620
土木工程（国际班）;4380
动漫设计与制作专业(动漫设计方向）;7489
移动通信技术（3G移动通信）;1654
财务管理（理财规划师方向）;7302
音乐学（电脑音乐制作）;8537
电力系统自动化技术（水利部示范专业）;6795
材料成型控制技术;6746
初等教育;1575
金融学（投资理财方向）;6593
产品设计（美术类本科）;8480
染整技术;4006
建筑文秘与办公自动化;6504
美国留学预科;914
运动人体科学（运动康复与健康方向，本科，文理兼收）;8100
音乐教育;1470
机电一体化技术（校企合作）;4152
计算机网络技术（ATA公司合作班）（文理兼收）（;4985
会计学(财务管理);4313
梁实秋班;5274
应用英语（文化与翻译方向）;1970
导航工程;959
艺术设计(平面设计);7711
火灾勘查;1485
计算机应用技术（广告设计方向）;7656
计算机应用技术(动漫设计方向);5683
国际酒店经营管理;7798
音乐表演(空中乘务方向);6703
艺术设计（服装设计与展示方向）;5983
文秘（速录师）;2722
加拿大留学预科;912
英语(经济贸易、翻译、英日双语方向);6216
机电设备工程维修与管理(机械设备工程方向);8062
企业形象代言;900
中国革命史与中国共产党史;7272
广播电视编导专业（文理兼招）;8603
对外汉语（英语方向、日语方向、韩语方向）;3007
软件工程（云计算，闽台合作项目）;4618
金融保险应用英语;6762
金融学（注册金融分析师）;4776
酒店管理专业（涉外方向）;1960
土木工程（城市道路与桥梁工程方向）;636
电气工程及其自动化（新能源发电方向）;6274
物流管理（信息管理方向）;6816
刑事图像技术方向（刑事侦查技术）;3941
计算机科学与技术(移动应用技术方向);808
计算机网络技术（计算机网络技术及网络安全;3139
建筑工程学院;992
化学工程与工艺专业（可再生能源化工方向）;7286
广告设计与制作（会展与广告设计方向）（文、理、艺兼收）;5000
软件工程（嵌入式应用软件开发）;4748
化学工程与工艺专业（理科）【四川省特色专业】【四川省"卓越工程师培养计划"专业】;8586
城市轨道交通控制（通信与信号）;1104
食品营养与检测（公告营养方向）;1848
给排水科学与工程专业（原给水排水工程专业）;8923
经济学（投资经济学方向）;2763
机电一体化技术(省级特色专业、中央财政重点支持专业);5667
建筑电气控制技术;7983
电子信息工程（本科，理工类）;8114
网络工程(网络工程与管理方向);5823
新型纺织机电技术(电气控制方向);4199
2014年招生专业设置一览表;7980
环境艺术设计（室内设计）　;3974
烹饪工艺与营养（厨政管理方向）;3303
医用治疗设备与技术专业;3614
军用材料工程;948
船舶电子电气工程专业;2463
软件工程(移动设备应用开发方向);5856
荷兰语;335
移动通信技术(通信运营管理方向);8182
医学检验技术专业;4489
商务管理专业（拍卖与典当方向）;2140
图形图像制作（游戏动画方向）;8441
应用韩语(文秘贸易方向、赴韩研修方向);5550
会计学（会计电算化与XBRL方向）;6609
软件技术（游戏软件开发）;7652
工商企业管理（航空服务与管理）;865
机电设备运行与维护;8159
商务英语（国际金融与财务方向）;7761
演出制作管理;1043
四年制本科医学检验技术专业;547
信息与计算科学（福清校区）;4645
　　通信技术;5554
美术教育（二年、三年制）;7530
广告设计与制作(艺术设计传媒大类);6069
文秘(文化教育大类);6064
影视动画（专科）;8532
应用英语（外贸方向);6407
生物实验技术;4661
热能与动力工程（制冷与空调方向）专业;2654
投资与理财（证券投资方向）;3256
护理（社区护理）;2803
铁道机车车辆;405
新能源材料与器件（本科）;5944
艺术设计(装饰方向);4475
教育学(卫生教育方向);3604
　　环境设计专业（景观设计方向）（四年制本科）;9325
數學(數學與應用);9385
音乐学专业（音乐理论方向）;5312
水产养殖教育;1560
装饰艺术设计（室内设计方向）;8347
　　汽车检测与维修;5557
通信设备维修;4961
军事心理学;4240
三年制口腔医学技术专业;530
高速动车组检修技术;4174
安全工程专业;1499
会计学（金融外包）;5420
民航运输;1958
计算机应用技术（企业信息化）;7611
物业管理（含城市社区管理与服务方向）;1885
数控技术专业;1891
汉语言文学（文秘方向）;5868
生物技术（植物方向）;9205
信息与计算科学专业;2106
海洋工程类;6177
计算机通信（网络技术方向）;8396
市场营销（专科）;780
作曲与作曲技术理论专业;8965
美术教育(3年制);2346
食品分析与检验;3203
计算机网络技术（网络管理）;4233
會計學;9392
营销与策划（品牌营销管理方向）;6384
电气工程及其自动化(电力系统自动化方向);6971
护理（英语护理方向）;6026
电视节目制作;838
侦察学;2624
艺术设计（游戏动漫方向）;5689
网络营销专业;983
英语(国际经济法方向);4764
音乐表演（声乐演唱方向）;5296
数学与应用数;4471
音乐表演（音乐舞蹈）;8628
动画艺术设计;943
市场开发与营销;1708
舞蹈;1586
移动通信技术（中央财政支持的重点专业）;3247
电子信息工程（福清校区）;4626
经济学专业;2101
信息与技术科学;6139
市场营销（电信业务营销方向）;6316
药物制剂学;2580
影视戏曲表演;700
建筑学（建筑幕墙设计）;3890
历史学(文物鉴定与保护)(专科起点);1051
体育服务与管理（高尔夫管理）;7951
软件工程(与惠普合作培养软件开发与软件测试);5364
音乐教育（舞蹈）;7563
体育艺术;4759
临床医学(农村免费定向医学生);4453
小学教育（专升本）;5997
森林资源;313
英语（金融英语方向）;3579
WEB程序设计;5171
电力系统自动化技术;739
高铁邮轮服务管理;7882
旅游系;5118
商务英语（物业管理方向）;6486
国际经济与贸易（服务贸易方向）;6595
艺术设计学（服装设计）专业;6886
产品设计专业(产品造型设计方向);7331
电子信息工程（铁道通信信号方向）;1942
园林(双语教学试点班，学制4年);2251
国际工商管理;4755
会计电算化(铁路企业方向);6572
应用电子技术（理工类）;4846
法务秘书;1127
教育技术学;324
临床医学专业（在四川省凉山卫生学校办学点招生）;8025
网络工程(物联网方向);5460
临床医学(医事法学方向);4802
轮机工程（海上方向）;2465
服装与服饰设计（中日合作班）;3401
美术学（公共艺术）;6248
计算机应用技术（物联网技术方向）;6389
广告学(艺);4300
公共事业管理(房地产经营与管理方向);6215
公共课程;7529
文秘(文秘与行政管理方向);756
工程造价(原工程预算与管理);4903
建筑设备与环境工程;7281
物联网应用技术(智能交通方向);8180
汽车制造与装配技术;820
学前教育（三本）;9040
计算机应用技术(软件开发方向);6465
机械设计与制造（国家和省级重点建设）学制三年;5192
园艺(草坪科学与工程方向);7923
城市轨道运营管理;9153
热能动力设备与应用（工业窑炉）;1730
工商管理(物流与供应链管理方向);5697
景区开发与管理（专科）;9252
　　制冷与空调技术;5552
信息与计算科学+软件工程;2529
油田化学应用技术;8057
服装设计专业（蜀绣）;8744
电气工程及其自动化（电力系统及其自动化方;8046
农林经济管理（学制4年）;2265
工商管理(行政与人力资源管理方向);6214
应用英语（英语教育方向）;6430
装潢艺术设计（文理兼收）;4862
会计电算化(金融会计方向);2729
机电一体化技术（中外合作办学）;4291
会计电算化（620204）;5116
广告设计与制作专业;8748
多媒体技术;2402
应用统计学（学制4年）;2290
法律（法律事务）;5220
消防工程技术;6411
影视动画（摄影与摄像技术）;3982
汽车检测与维修技术(检测方向);6789
法学(法律实务方向);9226
综合文科教育(专科);2082
环境工程（学制4年）;2236
装饰艺术设计（环境艺术设计方向）;1371
信息与计算科学(按数学类招生);8414
物流管理;194
光信息与技术;357
工程机械运用与维护;2641
道路桥梁工程技术（监理）;1109
软件技术（网站设计方向）;7657
物理学(师范类);9233
民族学（经济与管理方向·本科·文史类）;8106
装饰艺术设计（工艺与绘画）;7502
生物工程（中外合作办学）;5828
土木工程专业（建筑工程方向、道路桥梁工程方向）;6962
应用心理学教育;2088
粉体材料科学与工程;2471
护理(专科);1587
石油工程技术;1408
物业管理专业;6542
工程管理（项目管理）;7048
药物分析;2590
微电子技术（液晶显示方向）;4156
马铃薯生产与加工;2416
特警;2122
学术英语教学中心;3739
戏剧影视文学;563
软件技术专业（专科）;5721
包装工程;297
新闻学专业;502
环境设计（艺术类）;2532
国际经济与贸易（供应链规划与管理方向）;6596
影视灯光艺术;5676
匈牙利语;337
艺术设计（专科）;5874
英语(含英汉互译方向);5435
新闻学（新闻业务）;6615
英语教育（专科）;6099
药学（药物化学）本科;7081
木材科学与工程;298
应用电子技术（电子电器产品质量检测方向）;7643
计算机应用技术(动漫制作方向);6770
信息与计算科学(信息计算方向);6982
电子信息工程技术(通信及网络工程方向、物联网应用技术方向);5664
旅游英语(旅游方向);6044
音乐表演（流行音乐表演方向）;8673
环境设计（建筑景观设计方向、室内设计方向）;6942
计算机应用技术(自治区级品牌专业);2375
航空机电设备维修(航空电子方向);9130
通信技术（通信工程方向）;9288
制冷与冷藏技术（低温保鲜技术）;8385
英语（英语教育）;8333
环境艺术设计（建筑与装饰方向）;8686
医疗美容技术（中医美容方向）;3486
彭实戈班;5254
计算机应用大类;4530
文秘速录;1715
服装设计与加工;1682
音乐学（音乐教育方向）;6283
环境艺术设计(室内、景观);4171
公路监理（原名称：交通土建工程监理）;4567
计算机科学与技术（数据库应用系统开发方向;2748
保险(专科起点成教本科);6754
公路养护与管理（高等级公路）;9372
液压与气动技术（航空方向）;9154
制药工程1;7262
卫生检验与栓疫;6186
信息管理与信息系统（企业信息管理）;8314
园林工程技术（园林工程与园林艺术）;5209
英语（商务英语）;2609
现代焊接技术;4973
酿酒技术;8781
应用心理学（师范类）;6262
物流管理（医药物流管理）;3623
国际贸易实务专业;3273
艺术设计(陈列设计方向);8650
物流管理（国际物流管理方向）;7307
计算机应用技术(计算机应用与维护方向);7409
安全工程;211
音乐表演（社区文化）;4088
酒店管理（中马合作办学）;9356
汽车电子技术(区域经济重点支撑专业);5669
音乐表演（器乐演奏方向）;5298
工商管理类;386
机械工程（机械制造）;3551
建筑设备工程技术（水暖电安装）;7606
放射化学;9186
高分子材料与工程专业（服装材料与工程方向;649
软件工程(软件测试);7129
安全工程（建筑工程方向,本科,理工类）;8145
制药工程专业（民族制药方向）;8903
植物生产类;2965
电气自动化设备安装与维修;8831
经济管理（财务会计方向）;5166
计算机辅助设计与制造(机械设计与制造方向);8188
文秘与新媒体;7763
法学（英汉双语授课，学制4年）;2226
护理专业（老年护理方向）;6529
所有专业;1609
游旅管理;3426
草药栽培技术;5176
软件技术(WEB应用开发);4168
自然地理与资源环境专业;5757
数控技术（两化融合）;2788
商务英语（涉外文秘方向）;4048
城市园林（中美合作）;3671
多媒体设计与制作（影视动画方向）;4670
金融与投资管理（财务管理与理财规划方向）;926
工艺美术品设计与制作;1796
轻化工程专业（服装色彩与功能方向）;648
公共事业管理专业;1521
计算机网络技术(网络信息安全方向);6773
机械工程及其自动化;2034
营销与策划（专科）;5041
水运管理(港口与航运管理);7417
会计（水运会计）;3672
酒店管理(国际旅游与酒店管理方向);5009
文秘（商务秘书）;6807
现代纺织技术(织造技术);7707
办公自动化管理;7514
国际经济贸易;8497
过程装备与控制工程专业（理科）【国家级特色专业】;8573
药学（临床药学）;2873
【交通管理】文理科;4820
美术学（绘画）;5157
旅游;5657
计算机应用技术（信息技术）;8051
电气工程及其自动化专业;1514
市场营销（房地产营销与策划方向）;8799
社区管理与服务专业;7975
金融保险（含证劵投资方向）;1873
历史学（师范类）;4743
中西医临床医学本科;7082
图书档案学;1152
公安管理;1333
财政金融;1548
信息安全技术（数据恢复工程师）;8272
应用化工技术（化工电气自动化）;7741
交通运输（学制4年）;2237
水生动植物保护;4970
公共事业管理（卫生事业管理方向）;6120
装潢艺术设计(室内装饰设计);4136
财政学（资产管理与资产评估方向）;3560
经济管理专业（含监所方向）;6716
城市水利;4396
中英旅游管理（640101）;5140
汉语言文学（新闻传播）;6124
舞蹈学（师范类）;6263
中日经贸法律特色班;5258
液压与气动技术(液电控制方向);9133
财务管理(公司财税);4187
公共艺术;2922
装饰艺术设计（室内设计）专业;8752
临床医学专业（“5+3”一体化）(硕士段培养方向:儿科学);8036
传媒策划与管理(网络传播);3698
酒店与旅游管理;2842
产品设计(艺术学);6061
计算机科学与技术(软件与服务外包方向);5459
保险;115
商务英语(对外贸易方向);7660
计算机应用技术数据库技术与应用方向）;6727
应用心理学(心理咨询与治疗方向);9236
国际会计方向;7825
小型水电站及电力网（省级教学改革试点专业）;6796
计算机科学与技术专业（互联网金融方向）;7296
计算机应用技术（图形图像设计）;4208
电子信息工程技术;456
计算机科学与技术(电子商务方向);8458
产品设计专业（鞋品设计方向）;652
体育教育（体育表演方向）专业;2105
铁道机车车辆(高速机车车辆方向);6569
物流管理（速递服务与管理方向）;1747
美术学(插画与三维动画）;8380
装潢艺术设计（文化创意产品设计）;8825
通信技术(交换网络方向);8266
戏剧影视表演;898
日语(国际商务方向);4765
广告学（本科，文理兼收）;8149
电子信息工程(电子信息处理方向);6206
商务英语（2015新增）;6887
景观建筑设计;2561
应用化学（化工与制药）;8372
飞行技术;428
计算机网络技术（网络管理方向）（590102）;5136
公共艺术(装饰设计);6296
能源动力类;506
油画;3502
商务英语（660108）（英语教育方向）;5133
林业经济信息管理;9047
法学（医事法律）;1269
中国历史;0
俄语专业（文理兼招）;8562
电子信息工程（雷电防护科学与技术方向）;4304
法学（海商法）;7940
建筑装饰工程技术（装饰方向和工程方向）;6414
生物技术（基地班）;2926
供热通风与空调工程技术专业（通风空调与制冷技术方向）;3167
市场营销（国际市场营销）;4781
电气工程及其自动化专业（职教师资方向）;8909
软件工程+轨道交通信号与控制;4727
艺术设计（装潢艺术方向）;5871
电子科学与技术（嵌入式应用方向）;8459
财务管理本科（中美合作办学）;5342
戏剧影视文学（广播电视文艺节目创作方;8519
弹药工程与爆炸技术;2029
心理学专业(师范、本科);5931
农业水利工程;274
中医学（五年制）;3475
工商管理（文化创意与管理）;7160
给排水科学与工程（学制4年）;2293
过程装备与控制工程（辽阳校区）;2485
食品质量与安全;276
国画;3503
汽车检测与维修技术（理工类）;4850
核生化消防;1481
机电设备维修与管理(建筑电气方向);6786
应用化学(中德);5294
计算机应用技术（电脑艺术设计方向）;7650
计算机与信息技术;6421
蒙古语言文学教育;3222
环境艺术设计(景观设计方向);3261
商务英语（翻译）;7478
中小学理科教育;7522
物流管理（泰达学院）;1164
应用韩语（酒店服务）;4093
影视动画 ;8444
高尔夫服务与管理;7974
印刷技术（印刷包装管理）;3631
移动通信运营与服务;1352
音乐表演（师范）（本科）;7229
地质工程（学制4年）;2286
金融管理与实务（航运金融）;1389
中药（鉴定与营销方向）;3262
机电一体化技术（中德合作）;3679
宝盾班;7424
计算机科学与技术（动画技术方向）;8505
电脑艺术设计（现代商业广告）（三年制）;7534
电子与工艺管理;6570
中韩合作旅游管理;5487
影视多媒体技术（媒体制作）;5449
建筑装饰工程技术(自治区级品牌专业);2387
音乐艺术;897
烹饪工艺与营养专业;5483
计算机控制技术（自动化仪表方向）;1674
行政管理（二批）;5401
英语（国际经贸）;8336
复合材料与工程专业;1244
酒店管理（茶馆经营与管理方向）;4081
国际保险;6761
计算机软件技术;3327
材料工程技术(一);8383
国际贸易;907
数控设备应用与维护学制三年;5193
行政管理（电子政务方向）;1430
预防医学专业;2564
四年制本科法学专业（卫生法学专业方向）;551
电气信息类（中外合作办学）;1255
精细化学品生产技术（古井班）;4495
财务管理（专升本）;5773
戏剧表演;6741
工商管理（现代物流管理）;7041
化学工程与工艺（卓越班，本科）;7245
市场开发与营销（报刊与图书发行方向）;1748
土木工程检测技术;2818
商务管理专业（商务文秘方向）;2141
水产养殖学专业(水产养殖方向);7994
酒店管理(餐饮管理）;7380
车辆工程专业（本科）;5956
铁道交通运营管理(城市轨道交通运营管理);4173
金融会计;1097
计算机网络技术-订单班;1849
应用艺术设计(新媒体与平面设计方向);3681
电子信息科学与技术（光信息科学与技术）;6337
计算机网络与多媒体技术;5024
城市轨道交通车辆专业（驾驶方向、维修方向;8361
运动训练;322
汉语国际教育（InternationalEducationofC;8067
食品科学与工程(试点学院计划);6322
装潢艺术设计(室内装饰设计方向);8230
学前教育（双语教育方向）;1968
思想政治教育;43
机电一体化技术（电气自动化及仪表方向）;7972
刑事执行专业（社区矫正方向）;7964
新闻传播学类（中外合作办学）;2202
学前教育五年制（“3+2”连读）;9158
传播学（跨文化传播）专业方向;1304
计算机信息管理（现代文秘与会展）;8839
日语（外贸）（本科）　;7218
旅游英语专业;6524
中国语言文化;9342
金融管理（本科）;5065
文化事业管理（传媒与管理）;7510
综合文科教育;2942
计算机科学与技术（网络技术与系统集成）;3837
航空服务管理（空乘、机场服务管理）;6849
环境设计专业（会展设计方向）;7293
测控技术与仪器（辽阳校区）;2495
新闻采编与制作（文娱体育新闻与摄影）;8772
食品科学与工程;275
汉语言文学;78
商务管理;444
服装设计（服装工程）;8346
计算机控制技术（过程控制与自动化方向）;1868
电气工程及其自动化技术;2781
02.国际金融理财（Financial;1014
电子科学与技术(电子信息材料及元器件方向);6978
市场营销(机电产品营销方向);4519
汽车检测与维修技术(3+2项目);4015
电子信息工程技术（网络安全）;7737
女性学;628
机电一体化技术（矿山机电方向）;2213
编辑出版学（新媒体编辑方向）;5707
市场营销（高水平运动员）;5293
理化测试及质检技术;8715
医疗保险实务;2311
市场营销（BTEC财务方向）;7349
非织造材料与工程专业;3398
机电一体化技术（河南省专业综合改革试点专业）;5971
医学信息学;3391
分子科学与工程;1177
电气工程及其自动化（注册电气工程师方向）;7326
应用韩语;797
商贸日语;4465
外国语言文学（中外）;8038
工业设计（产品造型）;7387
土木工程（高职本科）;8931
食品质量与安全监管专业;1618
软件技术（数据库应用与信息化技术方向）;2401
电子商务（含航空服务方向）;5575
电子商务（620405）;5107
会计学（注册会计）;7939
物流管理（物流金融管理方向）;3576
体育教育（３年制）;2347
汉语言（维语方向）;9344
【文秘】文理科;4833
网络工程（云计算方向）;2204
车辆工程（英汉双语授课，学制4年）;2287
机械设计制造及其自动化(数字化设计）;6988
软件技术（万佳软件工程师方向，万佳软件公;8288
体育教育专业（文理兼招）;8588
金融数学系;27
生物技术（食品营养与检测）(本科);7167
制冷与空调技术;682
幼儿教育;5805
信息网络安全监察;2120
装饰艺术设计（数码绘画艺术设计）;7340
船舶工程技术【船舶电子与通信方向】;4921
市场营销（中丹合作）;3559
科技与创意设计试验班;4340
哲学（二批）;5391
高分子材料加工技术(中央财政重点支持专业);5660
小学教育(师范);4263
信息与计算科学（计算数学与软件方向）;9199
装饰艺术设计（家纺设计）;3985
应用德语;1351
临床医学（临床心理）本科;7057
软件工程+桥梁工程;4724
艺术设计（陶瓷方向）;6077
计算机类（中外合作办学）（软件工程）;513
交通工程（机场与道路总体工程）;9068
公共艺术专业;671
环境艺术设计（景观与人物摄影）专业;1716
英语（涉外文秘）;7258
软件工程（计算机应用软件方向）;2752
汽车检测与维修技术(国家级示范专业);3062
农业机械及其自动化;5719
建筑装饰材料及检测;767
新闻采编与制作专业;9140
酒店管理(营销方向);6042
艺术设计（印刷美术设计）;3632
物理学专业;2107
【侦查】文理科;4819
行政管理（金融事务助理方向）;3575
护理学（中英合作）;3483
建筑工程技术（工业与民用建筑工程）;1836
再生资源科学与技术;204
机械设计制造及其自动化（机械电子工程;2628
畜牧兽医（现代马产业技术）;9360
法学（律师方向）;1434
软件技术（软件设计师方向）（590108）;5090
智能科学与技术（信息技术科学学院）;1140
土木工程(工业与民用建筑方向）;6985
信息传播与策划（平面广告设计）;4712
金融学（金融统计方向）;5717
武术与民族传统体育;3804
机械设计制造及其自动化（数控技术方向）;2789
艺术设计（会展策划与展示设计方向）;6464
环境监测与治理技术（环境管理方向）;3258
汽车检测与维修技术(汽车装饰方向);8730
飞机维修（发动机主体修理方向）;6683
工商管理（企业管理方向）;7303
汽车行业管理;2840
茶文化;6525
博物馆学;3
教育技术学（教育软件工程）;7246
应用电子技术（通讯）;7476
建筑工程技术（工业与民用建筑方向）;8711
动漫设计与制作（文、理兼收）;4999
计算机通信（宽带数据通信方向）;8268
经济管理;409
英语（旅业商务英语);7944
护理（产科方向）;6449
物联网应用技术(校企联合培养);5648
机械设计制造及其自动化（机电一体化）;2075
学前教育（亲子教育）;859
电气自动化;3179
艺术设计(服装设计);2704
英语商务口译;922
美术教育专业（五年制）;7566
英韩双语;2906
通信技术（网络规划与网络优化方向）;9289
资源环境与城乡规划管理;234
电气工程及自动化;469
电脑艺术设计;452
主持与播音;1417
艺术设计(环境艺术设计);848
海洋管理;2663
医疗电子工程;7361
临床医学专业（肿瘤学方向）;9017
护理专科;7051
计算机网络技术（监狱信息管理）;3105
农用车与摩托车维修;2427
软件工程专业（日语强化）;2455
工业产品设计;6475
广告策划与制作;3325
国防建筑学;4244
物流管理（口岸物流）;3655
计算机图形图像制作;4793
动物科学（饲料科学与工程方向）;8934
心理咨询（境外合作项目）;8521
现代养殖;5182
　　英语（英语翻译方向）（四年制本科）;9314
电子信息科学与技术专业（电子信息类）;5762
机械设计制造及其自动化专业（理科）;8611
商务英语（旅游方向）;3006
机电一体化技术（铁路机务方向）;5151
软件工程（云应用方向）;8467
财务与金融;3738
数学与应用数学（保险精算师方向）;2006
服装设计;1683
能源与动力工程（制冷空调）;6897
会计学（对口高职本科）;8130
金融学、金融工程（经济学院）;1147
会计与审计（注册会计师方向）;1725
水文与工程地质;8163
机械设计制造及其自动化(机械电子工程);4255
体育服务与管理（国际高尔夫方向）（体育类）;8080
工商管理（文理兼收）;4864
计算机应用技术（非师范专业）;9054
汽车整形技术（只限男士）;1112
法学（实验学院）;521
体育产业管理;375
国家生物学教学与研究人才培养基地班;5268
汉语言文学（另含秘书学方向）;6157
国际经济与贸易(专科起点);1058
数控技术（机床操作与维修方向）;8732
园林工程技术专业;7495
旅游管理类（闽台合作项目）;4634
生物医学工程学（中医信息与工程方向）;3482
宝玉石鉴定与加工技术（宝石营销方向）;2730
美术学(书法)(专科起点);1082
商务英语(报关报检方向);8211
英語研究;9403
物流管理（航空物流）;3464
建筑装饰设计与工程;6412
日语（外经贸翻译方向）;1438
法律与行政学院;6869
形象设计与管理;901
计算机应用技术（软件方向）（文理兼收）;4989
应用电子技术（电子设备技术）;7596
园林技术（花卉）;7388
工商管理专业（企业零售管理方向）;658
初等教育（文科方向）;6084
国际商务（商贸俄语）;9282
电子信息工程(电子技术方向);6205
公共事务管理（食品安全与健康管理）;7776
新闻学（国际新闻）专业方向;1294
测控技术与仪器(产品质量工程);6289
口腔医学专业（五年制本科）;6951
汉语言文学(专科起点);1079
高分子材料应用技术;1633
应用生物科学专业（师范，招收理工类考生）;8974
舞蹈表演（舞蹈教育方向、舞蹈表演方向;7913
财务管理专业（国际注册会计师ICAEW-ACA）特色班;1431
数学基地班;3394
电子信息工程（合作办学）;4370
电厂集控运行;5233
数控技术/国际贸易实务;4031
法语（二批）;5415
会计（建筑会计）;4022
会计专业;1004
工程造价审计;6506
地理学基地班;2945
　　物业设施管理;5515
OracleCRM方向课程设置;1119
自动化;159
应用心理学（心理咨询方向）;5698
计算机辅助设计与制造(汽车检测与维修方向);8189
机械类（工学Ⅰ）;2960
市场营销（医疗器械营销）;3610
汽车运用技术(高职专科);5501
系统与控制;439
贸易经济;114
教育学（综合文科）;8847
临床医学（七年制）;5238
管理科学（精益管理方向）;5995
投资与理财（公司理财方向）;6385
药品经营与管理(生化与药品大类);6071
高级护理方向;7804
学前教育（中英文）;4978
通信与信息工程;3767
海洋科学类;6195
电脑艺术设计（文理兼收）;4861
数字媒体设计与制作;4175
计算机多媒体技术专业（网络媒体与数字影视;5540
英语强化课程;3731
国际金融（投资与理财）;7470
现代文秘（高职）;5003
工商企业管理专业（医疗器械国际商务）;3619
市场营销（房地产营销方向）;6564
汽车服务工程（理赔与估损）;1026
物流管理（医药物流）;2808
计算机信息管理（对口、专科）;5936
艺术设计专业(环境艺术设计方向);1948
旅游管理（客运旅游方向）;6551
工商企业管理(中澳合作);5645
英语（旅游英语）;8495
电子信息工程（职教师资方向）;8852
四年制本科康复治疗学专业;546
材料科学与工程（学制4年）;2229
软件工程（云计算系统架构）;8466
艺术高考考前培训;904
应用日语（IT方向）;9281
视觉传达（专科）;1787
国际商务（国际贸易方向）;7749
国际货运代理实务;7789
计算机应用技术（软件开发方向）;1713
艺术设计（城乡空间设计方向）;3656
环境科学;65
休闲服务与管理（体育市场开发方向）;6396
中药学（彝药学）;8486
高分子材料与科学;2927
服装设计与工程（中美合作项目）;4352
家政服务（涉外方向）;1979
法学（纪检监察方向）专业;8950
音乐科技与艺术;3594
工程管理（房地产开发与经营）;9003
社会体育(瑜伽方向，中外合作);4845
软件技术（互联网应用开发方向）;8802
学前教育(师范类);4333
新闻学（网络与新媒体）;8318
工商企业管理（邮政通信管理方向）;1745
西班牙语（国际商务）专业;1301
电子技术应用;4960
企业社会责任（公益事业管理方向）;934
国际经济与贸易（本科·文理兼收）;8097
热能动力设备与应用(国家骨干校重点建设专业群专业);2385
生物科学(师范类);9235
畜牧兽医（动物医学方向）;775
自动化（电力系统及其自动化方向）;7282
监狱学（社区矫正方向）;3525
食品生物技术（肉制品工艺）;3268
环境艺术设计(空间陈设设计方向);975
软件技术（软件开发与测试方向）;7352
信息传播与策划;3188
体育航空服务;938
临床医学（医学影像学）;1266
护理学（本科）;1542
中医学（5+3一体化针灸推拿英语方向）;3478
体育服务与管理;1732
广告学（数字营销与广告传播）;6618
市场营销(电子商务);4314
器乐;1807
软件设计与开发;5021
经济信息管理;776
安全防范技术专业（产品制造和集成技术方向）;3682
康复治疗学本科;7084
艺术设计（工业造型设计）;6298
传媒艺术系;6706
统计学;68
电子商务方向;7811
软件技术专业;6826
计算机控制技术;1379
电子商务（本科）;5063
食品营养与检测（中澳合作）;5649
种子科学与工程（学制4年）;2245
道路与桥梁工程技术;2334
电子信息工程技术（理工类）;4847
机械设汁制造及其自动化;6185
临床医学（输血医学）本科;7058
投资理财;4425
财政税务系;7726
体育教育(高尔夫方向）;4843
艺术设计（服装设计与表演）;2596
艺术设计专业（广告设计方向）;7487
瑞典语;340
宝石及材料工艺学专业（宝石鉴定与营销方向）（国际班）;7871
国际经济与贸易（国际商务）;8810
轻工纺织食品;445
报关与国际货运;1339
应用化学（工业分析方向）;2885
科学社会主义与国际共产主义运动;6631
眼视光学;1264
材料成型与控制工程;2472
美术学（公共艺术方向）;6616
传播学（电影电视）;7151
汽车检测与维修技术（中加合作办学）;1358
数控技术(数控系统应用与维护方向);4159
高分子材料应用技术（国家试点）;2482
应用西班牙语（旅游西班牙语方向）;3759
表演艺术（学前艺术方向）;7769
地球物理学（地震监测预测方向、地球物理勘探方向）;1488
广告设计与管理;7756
国际经济与贸易（中美合作办学）;3601
食品贮运与营销专业;8387
工程管理专业（理科）;8563
航空机电设备维修（直升机维修方向）;1228
水利水电工程专业（水务工程专业方向）;1215
电厂设备运行与维护（水利电力设备及自动化;7447
室内装饰设计;3689
商务文秘;3331
计算机应用技术（信息管理方向）;7653
电子与信息技术;5178
电子信息工程（微电子制造方向）;2757
房屋建筑工程;9181
能源经济;121
工商企业管理（企业信息化方向）;2745
艺术设计（展览与商业空间设计）;3649
计算机速录;1834
交通安全与智能控制（安全控制产品方向）;6472
法学（行政法方向）;3527
染整技术（现代印染技术与管理）;8647
　　高分子材料加工技术;5509
森林保护（学制4年）;2291
城市轨道交通控制专业;8360
岩土工程技术专业;6843
旅游管理(文案方向);6037
影视学;329
软件工程(应用软件开发方向);7620
环境监测与治理技术(海外本科直通车);4090
大气科学;59
工科实验班（中欧航空工程师）;1233
动物生产与营销;3962
法医学;1463
建筑工程技术专业;5227
物理学系;7875
葡語研究;9401
财务信息管理（对口专科）;8640
格洛斯特郡大学;3710
轻化工程（皮革化学与工程方向）;5418
给水排水工程专业;2646
日语（涉外法商方向）;3515
市场营销(石油化工产品营销);4319
数理试点班;7887
艺术设计（动漫方向）;6639
机床加工与维修;8835
影视动画(游戏美术方向);8445
汽车技术服务与营销（华汽班）;6398
冶金设备应用与维护;1672
应用英语（英语翻译方向);6408
　　　投资与理财专业;4599
计算机科学与技术（中加）;3042
初等教育（英语方向）;7547
设计类视觉传达设计、环境设计、产品设计;5317
汽车运用技术（中德合作班）;1108
蒙药学;2200
应用物理学;177
会计与商务管理;3749
动漫设计与制作专业;6035
精细化学品生产技术;1624
功能材料专业;3399
信息资源管理;36
新闻学（法制新闻）;5222
网络企业管理专业;982
