;2620
生物工程（二批）;5358
环境设计专业;665
学前教育（师范）（专科）;5853
汉语言文学（文化创意产业方向）;3530
移动通信技术(4G移动通信方向);8181
房地产经营与估价(院级特色专业);4141
印刷图文信息处理（中美合作）;3624
计算机网络技术（网络工程管理方向）;7654
中国少数民族语言学;2851
  连锁经营与管理（酒店管理）;395
数控技术;719
船舶电子电气工程;3445
考古;6
非金属矿开采技术;8890
食品生物技术（制糖工艺）;3269
通信技术;717
汽车整形技术;1357
材料科学与工程（材料化学）;6904
音乐教育（音乐教育与表演方向）;3144
电气工程及其自动化（电力工程与管理方向）;7288
刑事执行专业介绍;6720
计算机网络技术（含特色就业班）;1880
艺术设计学;187
计算机应用（图形图像）;8791
日语(旅游日语方向);4698
新闻学（国际新闻）;7153
建筑设备工程;8785
医学影像技术（核磁物理方向）;6128
导弹维修;6679
现代纺织技术(纺织品设计);7708
税务（税务代理方向）;1349
动漫设计与制作（游戏美术设计方向）;1788
电子信息类(实验班);380
法学（知识产权）;9102
能源与动力工程(流体机械及工程);9196
航空电子信息技术;6692
法律事务（金融与商务法律事务）;8818
计算机信息管理(国际游轮管理方向);8213
机电一体化技术(数控加工方向);6019
模具技术;5185
设计学院;6868
艺术设计(视觉传达艺术设计);6219
政府與公共行政;9395
机电一体化技术（电梯方向）;7457
公路机械化施工技术;2675
文秘（文秘与电脑速记方向）（660112）;5131
英语（商贸方向）;5295
会计（专科）;3035
现代企业管理（项目管理方向）;932
电子信息工程技术（专科）;6589
韩国语（朝鲜语）专业;5632
表演艺术(音乐表演);7551
现代教育技术（师范类、理工类）;4852
兽药生产与营销;2420
电气工程及其自动化（电力牵引与传动控制）;8431
电子商务（IT日语）;2772
理科学;6678
计算机应用技术（含网站建设与维护方向））;1878
汉语言文学专业;499
会计学（注册会计师）;2632
动漫设计与制作（二维动画设计方向）;4130
经济学（国际经济与贸易方向）;6347
【公共事务管理（安全管理方向）】文科;4832
水土保护与荒漠化防治;2478
电脑艺术设计（数码影像制作与后期处理）;869
机电一体化技术（专科）;3038
药学（药品营销方向）;8854
高压输配电线路运行与维护;6792
经济学类创新班（本硕连读）;6909
工商企业管理（本科）;5064
中医保健康复技术;963
材料成型与控制工程（模具数字化设计及制造方向）;7330
国际经济与贸易（中德项目）;5329
项目管理;347
英语（经贸英语）;2892
应用韩国语;3221
城市热能应用技术;1365
电子商务（商学院）;1162
会计电算化（会计与统计核算）;9267
绘画（游戏美术）;6621
光电信息科学与工程专业;3409
